P,eps,alpha,beta,gamma,L,Nl
1.0959028300588671,0.01,0.6281939785639636,2.4706758997229192,1,4,3477 100 100 9
1.0853814352920765,0.001,1.0373334878046874,2.058570060948553,1,5,304219 7521 3712 908 315
1.0858115667590094,0.0001,1.0225756822881025,2.0355777433428557,1,8,30671069 766944 367880 90969 31636 11185 3900 1394
